timestamps,TP9,AF7,AF8,TP10,Right AUX,Secondary Timestamp
1652668543.898,-2.930,-930.664,-20.996,9.277,240.234,26704.818
1652668543.902,18.066,-137.695,-37.109,5.859,72.754,26704.822
1652668543.919,-74.707,267.578,-66.406,-66.895,-138.672,26704.824
1652668543.923,-113.770,-151.367,-68.848,-82.031,-73.242,26704.828
1652668543.927,-55.664,9.277,-90.820,-43.457,-22.949,26704.832
1652668543.931,12.207,414.062,-81.543,2.930,-46.387,26704.836
1652668543.935,-21.484,254.883,-41.992,-16.113,-39.551,26704.840
1652668543.939,-88.379,-239.746,-35.645,-60.547,-20.508,26704.844
1652668543.943,-67.871,-280.273,-49.316,-45.898,-32.715,26704.848
1652668543.946,14.648,193.848,-43.457,0.000,-60.547,26704.852
1652668543.950,-11.719,119.629,-52.246,-29.297,-20.996,26704.856
1652668543.954,-94.727,-538.574,-67.383,-75.195,70.801,26704.860
1652668543.958,-77.637,-178.223,-49.805,-56.152,-75.684,26704.864
1652668543.962,-11.230,342.285,-62.500,-18.555,-134.766,26704.867
1652668543.965,6.348,103.027,-72.754,-10.254,-38.086,26704.871
1652668543.969,-56.641,-189.941,-47.852,-47.363,-21.484,26704.875
1652668543.973,-93.262,-74.707,-56.152,-68.848,-46.387,26704.879
1652668543.977,-30.762,288.574,-64.941,-29.785,-62.500,26704.883
1652668543.981,23.438,-72.266,-69.336,1.465,68.848,26704.886
1652668543.985,-45.898,-551.270,-74.219,-54.688,65.430,26704.890
1652668543.989,-99.121,-324.219,-49.805,-77.148,-51.758,26704.894
1652668543.992,-46.387,-109.375,-24.902,-28.320,-82.031,26704.898
1652668543.996,12.207,-432.617,-42.969,11.719,149.902,26704.902
1652668544.000,-28.320,-947.266,-68.848,-27.832,323.730,26704.906
1652668544.004,-102.539,-252.441,-73.242,-84.961,-4.883,26704.910
1652668544.008,-90.820,169.922,-59.082,-59.570,-175.781,26704.914
1652668544.009,3.418,39.551,-34.180,6.836,-39.551,26704.914
1652668544.013,24.902,278.809,-28.320,2.930,-8.789,26704.918
1652668544.017,-72.754,353.027,-77.637,-67.383,-119.629,26704.922
1652668544.021,-105.469,94.727,-89.844,-82.031,-178.711,26704.926
1652668544.025,-31.250,-180.664,-68.359,-29.297,-98.145,26704.930
1652668544.029,15.137,-107.910,-67.383,-0.977,30.273,26704.934
1652668544.033,-57.129,-125.000,-48.828,-52.734,-32.227,26704.938
1652668544.036,-86.426,-206.055,-21.973,-58.594,-134.766,26704.942
1652668544.040,1.953,-791.016,-19.043,17.090,166.504,26704.945
1652668544.044,22.461,-633.301,-59.082,6.348,223.633,26704.949
1652668544.048,-60.547,287.109,-78.125,-74.707,-110.352,26704.953
1652668544.052,-104.004,54.688,-62.500,-89.355,-134.277,26704.957
1652668544.054,-59.570,-45.410,-65.430,-46.387,-83.984,26704.959
1652668544.058,27.344,319.824,-52.734,15.625,-85.449,26704.963
1652668544.062,-22.461,316.406,-52.246,-26.855,-80.078,26704.967
1652668544.066,-122.070,-10.254,-98.145,-98.145,-123.047,26704.971
1652668544.070,-92.285,-95.215,-98.145,-62.012,-127.930,26704.975
1652668544.074,-12.695,-41.504,-68.359,-5.371,-17.578,26704.979
1652668544.078,-17.578,-127.930,-49.316,-25.391,82.031,26704.983
1652668544.081,-86.426,-521.973,-37.598,-67.871,190.918,26704.987
1652668544.085,-87.891,-1000.000,-57.129,-56.641,396.973,26704.991
1652668544.089,-28.809,-574.219,-81.543,-27.832,216.309,26704.994
1652668544.093,6.836,256.348,-73.242,-8.789,-68.359,26704.998
1652668544.097,-31.250,98.633,-59.570,-31.738,-109.375,26705.002
1652668544.099,-85.449,95.703,-55.176,-68.359,-146.973,26705.019
1652668544.103,-57.617,332.031,-49.316,-46.875,-164.551,26705.023
1652668544.107,9.277,187.500,-67.871,-11.719,-168.457,26705.027
1652668544.111,-45.410,-8.789,-70.801,-54.199,-160.156,26705.031
1652668544.115,-108.398,69.824,-48.340,-87.891,-126.953,26705.035
1652668544.119,-54.199,-89.844,-54.199,-49.316,-147.949,26705.039
1652668544.123,22.949,-183.105,-58.594,5.371,-81.543,26705.043
1652668544.126,-0.977,-607.422,-56.152,-15.625,222.656,26705.046
1652668544.130,-92.285,-361.816,-64.941,-82.031,107.422,26705.050
1652668544.134,-80.078,292.969,-51.758,-66.406,-191.406,26705.054
1652668544.138,8.789,-43.945,-48.828,-11.719,-47.363,26705.058
1652668544.142,22.461,-193.848,-51.758,-6.348,58.594,26705.062
1652668544.144,-53.223,177.734,-51.270,-60.547,-112.305,26705.061
1652668544.148,-86.914,234.375,-70.312,-75.684,-203.125,26705.065
1652668544.152,-17.578,-121.094,-68.848,-11.719,-86.426,26705.069
